param_0,param_1,mean,se_mean,std,se_std,p10,se_p10,p25,se_p25,median,se_median,p75,se_p75,p90,se_p90,n_seeds
0.125,0.08838834764831845,93.06047000000001,0.1686875834047945,38.984740157252695,0.17448410746097887,42.28,0.08050346626579555,62.51,0.11414592822038346,90.89,0.21362432805126277,122.02,0.3321129173925487,146.79,0.4513268877387648,100
0.125,0.125,74.269674,0.09517001236617433,27.722547219433526,0.09736994983096345,38.85,0.0519809599951771,52.73,0.06333333333333334,72.22,0.12274635093014644,94.41,0.2040474296220208,112.54,0.2528304418443956,100
0.125,0.1767766952966369,63.14672,0.05481217766338079,19.811556042522273,0.060687917390228864,38.13,0.04181488788081164,48.01,0.04379705261980328,61.7,0.07453559924999298,77.12,0.11744760275944074,90.34,0.14854173307406396,100
0.125,0.25,57.229572,0.03737598202702973,14.704958480574064,0.049276517466900455,38.78,0.04163331998932267,46.15,0.035887028128263665,56.29,0.05558685986722931,67.31,0.07874649262672022,77.15,0.12091820425896227,100
0.125,0.3535533905932738,54.151754000000004,0.023016179966328553,11.483858042722975,0.035807350493465964,39.75,0.04351941398892446,45.96,0.024287836253956217,53.57,0.049756985195624305,61.88,0.05555959581268285,69.5,0.08226589066968623,100
0.125,0.5,52.553639999999994,0.015974244168901273,9.51985680311223,0.027719869881376195,40.66,0.04760952285695232,45.98,0.014070529413628973,52.05,0.021904291355759033,58.9,0.043808582711518065,65.14,0.058637733912420574,100
0.125,0.7071067811865476,51.76954800000001,0.014666944245307182,8.420247408949006,0.02705263139753202,41.05,0.021904291355759033,46.0,0.0,51.43,0.049756985195624305,57.26,0.0440844002276808,62.8,0.05860327153276883,100
0.125,1.0,51.365522,0.012342982268184945,7.803793596415854,0.024680708562367114,41.55,0.05,46.0,0.0,51.0,0.0,56.5,0.050251890762960605,61.53,0.0576562435842158,100
0.15,0.0009765625,171.99353599999998,2.0247908956806757,117.56006407870785,2.4191467881413864,30.85,0.22535045658446823,76.35,0.5767157099481599,154.52,1.4415535951454486,248.28,3.64531191942459,339.67,6.2865586127800634,100
0.15,0.0013810679320049757,169.67719,1.5662612682974342,113.39680815184563,1.9507616098322014,30.85,0.261840802894824,77.64,0.6245030347436595,155.41,1.3111098698847061,243.35,2.7677571782907178,333.58,5.04873581536342,100
0.15,0.001953125,170.73033999999998,1.9714556929765625,117.63268758266821,2.5755860491777343,31.24,0.2708460369980993,76.7,0.6054466587286254,151.6,1.3014366575970473,245.86,3.21555625362114,339.41,6.839385272748634,100
0.15,0.0027621358640099515,173.035408,1.5991841958302655,116.22668546898434,2.0065569335751827,31.89,0.2273674550061191,79.21,0.6012268601565779,156.73,1.2943431702698642,249.06,2.726259138249497,338.06,4.929909131049378,100
0.15,0.00390625,174.09263599999997,1.4358904130841281,115.76188336065448,1.9757798685439905,32.58,0.2188952980654256,81.17,0.6444878947386417,158.45,1.2063280120793318,250.43,2.57651612716384,339.83,5.466704637709961,100
0.15,0.005524271728019903,177.074666,1.7721657118152858,114.67526280242836,2.268257406337725,34.0,0.24822602928815024,82.96,0.6764315160898373,166.67,1.2950609361272654,254.23,2.953951470984128,337.75,5.492940832550355,100
0.15,0.0078125,179.68992999999998,1.564111865989221,115.48471778217422,1.969955458562189,35.35,0.22490177429448638,84.78,0.5758752670781436,168.25,1.5388815957235196,258.63,2.78243607384797,342.18,4.970872329598872,100
0.15,0.011048543456039806,176.199768,1.3811015088512764,105.51740235182821,1.5410527926745778,36.54,0.2231183949875451,88.59,0.5969780802364759,171.06,1.307771641635751,255.28,2.434311965930979,320.78,3.936710927829592,100
0.15,0.015625,171.925354,1.2948550687991254,100.14945429617215,1.3960241918663212,37.8,0.18586407545691702,88.25,0.46826026605689786,168.55,1.1860617286812791,250.33,2.251017951545882,308.14,3.6403191113312077,100
